pageid,ns,title
52269020,14,"Category:People from Basalt, Colorado"
52259571,14,"Category:People from Castle Rock, Colorado"
52289288,14,"Category:People from Cripple Creek, Colorado"
52258757,14,"Category:People from Delta, Colorado"
53415079,14,"Category:People from Erie, Colorado"
29369404,14,"Category:People from Estes Park, Colorado"
52260033,14,"Category:People from Fountain, Colorado"
52287658,14,"Category:People from Green Mountain Falls, Colorado"
52259504,14,"Category:People from Highlands Ranch, Colorado"
52253866,14,"Category:People from Lyons, Colorado"
52756747,14,"Category:People from Manassa, Colorado"
52260337,14,"Category:People from Monument, Colorado"
52253444,14,"Category:People from Pagosa Springs, Colorado"
52258574,14,"Category:People from Paonia, Colorado"
52217552,14,"Category:People from Vail, Colorado"
52289965,14,"Category:People from Windsor, Colorado"
52289631,14,"Category:People from Woodland Park, Colorado"
